BLOCKID,SENATE
090034924002015, 1
090035021001022, 1
090035009001003, 1
090035023004002, 1
090035018002000, 1
090035021001000, 1
090035048004010, 1
090034925002009, 1
090035025001012, 1
090034921002020, 1
090034923004014, 1
090035023001000, 1
090035041001002, 1
090034922001006, 1
090034925002000, 1
090035025001013, 1
090034926004006, 1
090034923003014, 1
090035247003017, 1
090035247003013, 1
090034922004001, 1
090035245013001, 1
090035021001035, 1
090035027002002, 1
090035041001003, 1
090035048002003, 1
090035045003004, 1
090034921001023, 1
090034922002013, 1
090035247001009, 1
090035021001043, 1
090034924001020, 1
090035049001016, 1
090035025001035, 1
090035049002014, 1
090035021001053, 1
090035003002000, 1
090035003002004, 1
090035048003008, 1
090034922002007, 1
090034924001001, 1
090034921001007, 1
090034926002004, 1
090034923001005, 1
090035024001005, 1
090035041001012, 1
090034925001006, 1
090034923003006, 1
090035023005002, 1
090035048003010, 1
090035049003000, 1
090035048001005, 1
090034921002022, 1
090034926002016, 1
090035048004000, 1
090035003001002, 1
090034921001028, 1
090035004001012, 1
090034925002007, 1
090035024003003, 1
090034921001001, 1
090035023002012, 1
090034923004000, 1
090035041001000, 1
090035041001013, 1
090035042002007, 1
090035023003012, 1
090034921001018, 1
090034924002001, 1
090035009001008, 1
090034926002011, 1
090034925001021, 1
090035003001007, 1
090035004001000, 1
090035017001002, 1
090034926006002, 1
090035025001029, 1
090035024002005, 1
090035049002013, 1
090034921001025, 1
090035030002007, 1
090035049001001, 1
090035048002004, 1
090034925001001, 1
090035018001004, 1
090034922002014, 1
090035048003002, 1
090034921001006, 1
090034924001014, 1
090034922003002, 1
090035003001006, 1
090035021002007, 1
090034921002016, 1
090034923001009, 1
090034924002005, 1
090034923002005, 1
090035027003004, 1
090035028003000, 1
090035023003003, 1
090035024003001, 1
090034921002006, 1
090035026002001, 1
090035023003011, 1
090034923001006, 1
090034923005013, 1
090035045002004, 1
090034921001003, 1
090034921001012, 1
090035028001003, 1
090034925001025, 1
090034923003001, 1
090035030001003, 1
090035043001011, 1
090035049002006, 1
090034924002007, 1
090034924001002, 1
090035021002001, 1
090035030001000, 1
090035030001005, 1
090035024003002, 1
090035023005006, 1
090035023002002, 1
090034923001010, 1
090035026001004, 1
090034921002028, 1
090034921001014, 1
090035026001007, 1
090035021001065, 1
090034923004012, 1
090034923004008, 1
090035048002009, 1
090035247002008, 1
090035028002001, 1
090035247003011, 1
090035247001001, 1
090034923002009, 1
090035245013002, 1
090035025001031, 1
090034925001026, 1
090035030002011, 1
090035028003003, 1
090035247002004, 1
090035024002003, 1
090035009001010, 1
090035023003006, 1
090034924002017, 1
090034926001004, 1
090034926002008, 1
090035045003006, 1
090035048001001, 1
090034923003004, 1
090034923003005, 1
090035021002032, 1
090034926002009, 1
090035048001008, 1
090035002001004, 1
090035021001058, 1
090034923005010, 1
090035018002002, 1
090035023001003, 1
090035049001011, 1
090035048004011, 1
090035028002003, 1
090035029003001, 1
090035021002021, 1
090035023002009, 1
090035045001001, 1
090035049001008, 1
090034922003003, 1
090035017001000, 1
090035025001038, 1
090035048002006, 1
090034926004013, 1
090035048003004, 1
090034923004006, 1
090035043001014, 1
090035021001050, 1
090034926001006, 1
090035247002003, 1
090035021002008, 1
090035024002001, 1
090035021001024, 1
090035021001064, 1
090034922002004, 1
090035027003008, 1
090035247003015, 1
090035030002003, 1
090035048002007, 1
090035021002025, 1
090035045002000, 1
090034921001008, 1
090035021001015, 1
090035024002002, 1
090034925001011, 1
090035029001003, 1
090035025001015, 1
090034925002001, 1
090035005002002, 1
090035004001007, 1
090035041001011, 1
090034922001014, 1
090034922001011, 1
090035017001004, 1
090035048001006, 1
090039801001025, 1
090034925001015, 1
090034926005001, 1
090034922001000, 1
090034923001019, 1
090035021002026, 1
090035049003001, 1
090035049002003, 1
090035048003013, 1
090035004001008, 1
090035041001007, 1
090035049001003, 1
090034923002002, 1
090035048004003, 1
090035027003005, 1
090034923005009, 1
090034922002001, 1
090035024001003, 1
090034926004003, 1
090034922002016, 1
090034926004001, 1
090034921001004, 1
090035018002004, 1
090035021002039, 1
090034923003002, 1
090034924001013, 1
090035049002005, 1
090035049002004, 1
090035027001002, 1
090035245012009, 1
090035049002009, 1
090035045003005, 1
090035023001004, 1
090035045003003, 1
090035021002012, 1
090035021001041, 1
090035009001005, 1
090034922004000, 1
090035021001054, 1
090035005002000, 1
090035027003010, 1
090035030002001, 1
090035021001009, 1
090034926001005, 1
090034926006003, 1
090034925002003, 1
090035048001003, 1
090034922001008, 1
090034921001011, 1
090035017001006, 1
090034926002002, 1
090035048002002, 1
090034921002023, 1
090035004001019, 1
090035009001012, 1
090034922003000, 1
090035021002006, 1
090034923003013, 1
090035004001018, 1
090034921002001, 1
090034923005015, 1
090035021002033, 1
090035021001023, 1
090035049002015, 1
090034923001008, 1
090034926002015, 1
090035048003005, 1
090035021001002, 1
090035018001002, 1
090035024003006, 1
090035021001048, 1
090034924001019, 1
090034925002010, 1
090034923002008, 1
090035027003002, 1
090035023003009, 1
090034926001009, 1
090035030002005, 1
090035003001004, 1
090034921001009, 1
090035023004006, 1
090034924002002, 1
090035247002005, 1
090035025001025, 1
090035023002007, 1
090034923001021, 1
090035023005004, 1
090034921002026, 1
090035021001018, 1
090034926002013, 1
090035021001060, 1
090035049001014, 1
090034924002000, 1
090035025001037, 1
090034924001004, 1
090035024002004, 1
090035023002001, 1
090035002001001, 1
090035247003001, 1
090035028001000, 1
090035021002002, 1
090034922002002, 1
090034921002012, 1
090035021001062, 1
090034921001020, 1
090034923002010, 1
090034923004007, 1
090034923004003, 1
090034923003003, 1
090035004001009, 1
090034923005008, 1
090035023002011, 1
090034921001017, 1
090034923002006, 1
090035017001009, 1
090035247001008, 1
090035026002004, 1
090034926002003, 1
090034922002005, 1
090035004001013, 1
090035021001059, 1
090035049001005, 1
090034925001010, 1
090035027002005, 1
090034924002024, 1
090035247003002, 1
090035048003016, 1
090035043001006, 1
090035021001003, 1
090035042003006, 1
090035043001000, 1
090034922002003, 1
090034925001019, 1
090035045002003, 1
090034923004011, 1
090035041001004, 1
090035004001016, 1
090034923005014, 1
090035018002007, 1
090035021002028, 1
090035027001000, 1
090034921002018, 1
090035018002003, 1
090039801001031, 1
090035001001001, 1
090035023001001, 1
090035025001003, 1
090034922003005, 1
090034926002006, 1
090035025001005, 1
090035024003004, 1
090035049001006, 1
090034923001016, 1
090039801001007, 1
090035028003001, 1
090035247003016, 1
090035247002000, 1
090035247003003, 1
090035002001005, 1
090035045003009, 1
090034923004004, 1
090035021001036, 1
090035005001001, 1
090035023004003, 1
090035048003017, 1
090035048003001, 1
090035025001014, 1
090035021002024, 1
090035021002003, 1
090034924002023, 1
090035023003001, 1
090035048003012, 1
090035041001009, 1
090035029002004, 1
090035023003007, 1
090035001002000, 1
090035025001023, 1
090035024001000, 1
090035021002040, 1
090034922002011, 1
090035017001007, 1
090034923001011, 1
090034922002012, 1
090034922004003, 1
090035026002010, 1
090035030002008, 1
090035023004005, 1
090039801001028, 1
090035030001002, 1
090034924002010, 1
090035023003002, 1
090034923001001, 1
090035026002002, 1
090034922001015, 1
090035009001011, 1
090034924002019, 1
090035023004004, 1
090034922002015, 1
090034923001018, 1
090034923001020, 1
090034923004002, 1
090034921002032, 1
090034923002007, 1
090035021001019, 1
090034926001007, 1
090035247001007, 1
090035048002005, 1
090035024001001, 1
090035049002000, 1
090035001001000, 1
090035023002000, 1
090034925001013, 1
090035027002006, 1
090035026001000, 1
090034924002004, 1
090035021002005, 1
090034922003007, 1
090035023004010, 1
090034922003006, 1
090034921002019, 1
090034926002012, 1
090035048004006, 1
090035247002002, 1
090034921001022, 1
090034921001024, 1
090035021001034, 1
090034921001013, 1
090035049002008, 1
090035049001000, 1
090035003001001, 1
090034921001019, 1
090035028001004, 1
090035021001052, 1
090035025001026, 1
090035023001008, 1
090035025001036, 1
090035247001000, 1
090034926004008, 1
090035021001037, 1
090035043001005, 1
090035005001000, 1
090035021001046, 1
090034923003010, 1
090034923005000, 1
090034926004007, 1
090035023001006, 1
090034926002010, 1
090034924001005, 1
090035247003021, 1
090035023004011, 1
090035023002008, 1
090035004001014, 1
090035026002009, 1
090035048003015, 1
090034924001007, 1
090034925001022, 1
090034922004005, 1
090035026002000, 1
090035021002034, 1
090035025001000, 1
090034924002018, 1
090034923003015, 1
090035045003000, 1
090035045003001, 1
090035027002001, 1
090035049002002, 1
090035028001002, 1
090035021001004, 1
090035026002006, 1
090034922003001, 1
090034922002000, 1
